index,timestamp_ms,left_target_rpm,right_target_rpm,left_actual_rpm,right_actual_rpm,left_output,right_output,line_mask,line_error,line_state,yaw_rate_dps,yaw_rate_target_dps
0,47740,0.0,0.0,0.0,0.0,0,0,24,0,0,0.3,0.0
1,47840,0.0,0.0,0.0,0.0,0,0,24,0,0,0.0,0.0
2,47940,0.0,0.0,0.0,0.0,0,0,24,0,0,0.0,0.0
3,48040,0.0,0.0,0.0,0.0,0,0,24,0,0,0.0,0.0
4,48140,0.0,0.0,0.0,0.0,0,0,24,0,0,0.0,0.0
5,48240,40.0,40.0,9.3,9.8,1462,1454,24,0,0,-1.4,0.0
6,48340,80.0,80.0,19.2,19.8,2066,2055,24,0,0,2.2,0.0
7,48440,120.0,112.2,31.6,32.5,2786,2643,124,50,0,1.3,0.0
8,48540,132.2,128.2,42.7,42.6,3236,3110,24,0,0,-0.7,0.0
9,48640,140.0,140.0,52.6,52.7,3655,3576,24,0,0,1.8,0.0
10,48740,131.0,122.0,68.2,68.6,3653,3404,16,50,0,1.0,0.0
11,48840,131.0,122.0,65.1,64.0,4019,3745,16,50,0,1.0,0.0
12,48940,131.0,122.0,67.4,65.8,4315,4009,16,50,0,2.8,0.0
13,49040,131.0,122.0,72.7,71.3,4531,4181,16,50,0,-2.7,0.0
14,49140,131.0,122.0,77.4,74.4,4751,4388,16,50,0,-3.8,0.0
15,49240,131.0,122.0,94.3,88.9,4723,4368,16,50,0,-4.2,0.0
16,49340,131.0,122.0,86.2,81.6,5034,4649,16,50,0,-4.7,0.0
17,49440,113.0,104.0,88.2,83.8,4918,4507,16,50,0,-2.8,0.0
18,49540,105.0,106.0,86.8,82.7,4875,4591,24,0,0,-3.8,0.0
19,49640,121.0,106.0,86.3,83.9,5153,4585,16,50,0,-1.8,0.0
20,49740,132.0,132.0,98.9,96.1,5195,4833,24,0,0,-2.1,0.0
21,49840,140.0,140.0,92.4,91.4,5589,5215,24,0,0,-1.2,0.0
22,49940,140.0,140.0,95.8,94.4,5777,5414,24,0,0,2.5,0.0
23,50040,131.0,122.0,113.3,112.2,5574,5048,16,50,0,0.0,0.0
24,50140,131.0,122.0,102.7,99.9,5828,5287,16,50,0,-3.2,0.0
25,50240,131.0,122.0,117.0,111.7,5701,5171,16,50,0,-2.1,0.0
26,50340,131.0,122.0,104.5,99.8,5968,5410,16,50,0,-1.6,0.0
27,50440,133.0,134.0,104.6,101.9,6049,5635,24,0,0,0.0,0.0
28,50540,140.0,140.0,105.8,103.6,6289,5866,24,0,0,-3.8,0.0
29,50640,140.0,140.0,109.8,108.4,6399,5979,24,0,0,1.6,0.0
30,50740,140.0,140.0,125.9,124.4,6250,5836,24,0,0,-3.3,0.0
31,50840,140.0,140.0,115.6,112.5,6485,6103,24,0,0,-4.8,0.0
32,50940,140.0,140.0,114.5,110.8,6625,6268,24,0,0,-3.0,0.0
33,51040,113.1,118.1,117.7,113.6,6227,5976,12,-100,0,-2.8,0.0
34,51140,84.0,100.0,112.0,109.5,5669,5682,28,-50,0,0.0,0.0
